"ID","iso_code","country_code","country_or_subregion","serotype","year","epi_week","total_cases","incidence_rate","laboratory_confirmed","perc_laboratory_confirmed","severe_dengue","SD_D_per_100","deaths","CFR","population_per_1000"
1,"CAN",124,"Canada",NA,2014,3,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,3,35,0.01,35,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,35,0.01,35,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,3,154,45.29,5,3.25,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,3,680,13.77,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,3,1010,15.82,156,15.45,2,0.2,0,0,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,3,108,0.68,0,0,0,0,0,0,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,3,465,5.63,NA,NA,62,13.33,0,0,8261
2,"MEX",484,"Mexico","DEN 1,2",2014,3,2316,1.87,195,8.42,66,2.85,0,0,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,3,1235,20.02,139,11.26,0,0,0,0,6169
2,"PAN",591,"Panama",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,5968,3.52,495,8.29,130,2.18,0,0,169677
3,"BOL",68,"Bolivia","DEN 4",2014,3,972,8.96,196,20.16,27,2.78,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,3,7254,14.83,1608,22.17,177,2.44,0,0,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,3,428,2.68,428,100,1,0.23,0,0,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,3,1236,4.02,408,33.01,5,0.4,0,0,30769
3,"VEN",862,"Venezuela",NA,2014,3,5167,16.75,0,0,21,0.41,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,15057,10.96,2640,17.53,231,1.53,0,0,137381
4,"ARG",32,"Argentina",NA,2014,3,114,0.27,0,0,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,3,17631,8.73,5985,33.95,24,0.14,18,0.102,202034
4,"CHL",152,"Chile",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,3,1763,25.48,23,1.3,2,0.11,1,0.057,6918
4,"URY",858,"Uruguay",NA,2014,3,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,19508,7.17,6008,30.8,26,0.13,19,0.097,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,3,594,5.64,NA,NA,26,4.38,3,0.505,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,3,355,9.64,57,16.06,0,0,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,949,3.73,57,6.01,26,2.74,3,0.316,25472
6,"AIA",660,"Anguilla",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
6,"ATG",28,"Antigua and Barbuda",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
6,"ABW",533,"Aruba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
6,"BHS",44,"Bahamas",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,383
6,"BRB",52,"Barbados",NA,2014,3,70,24.14,23,32.86,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,3,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,55
6,"CUW",531,"Curaçao",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,148
6,"DMA",212,"Dominica",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,73
6,"GUF",254,"French Guiana",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,255
6,"GRD",308,"Grenada",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
6,"GLP",312,"Guadeloupe",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,468
6,"GUY",328,"Guyana",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,3,19,0.68,4,21.05,0,0,0,0,2799
6,"MTQ",474,"Martinique",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,405
6,"MSR",500,"Montserrat",NA,2014,3,0,0,0,NA,0,NA,0,NA,5
6,"BLM",652,"Saint Barthelemy",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
6,"LCA",662,"Saint Lucia",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
6,"MAF",663,"Saint Martin",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,544
6,"TTO",780,"Trinidad and Tobago",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344
6,"TCA",796,"Turks and Caicos Islands",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,3,1,0.96,1,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,90,0.47,28,31.11,0,0,0,0,19268
7,NA,NA,"The Americas",NA,2014,NA,41607,4.4,9263,22.26,413,0.99,22,0.053,946328
1,"CAN",124,"Canada",NA,2014,4,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,4,43,0.01,43,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,43,0.01,43,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,4,209,61.47,7,3.35,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,4,836,16.93,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,4,1368,21.43,345,25.22,3,0.22,0,0,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,4,174,1.1,0,0,0,0,0,0,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,4,600,7.26,NA,NA,87,14.5,0,0,8261
2,"MEX",484,"Mexico","DEN 1,2",2014,4,3885,3.14,495,12.74,175,4.5,0,0,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,4,1688,27.36,205,12.14,0,0,0,0,6169
2,"PAN",591,"Panama",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,8760,5.16,1052,12.01,265,3.03,0,0,169677
3,"BOL",68,"Bolivia","DEN 4",2014,4,1499,13.82,307,20.48,38,2.54,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,4,9713,19.85,1608,16.56,242,2.49,0,0,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,4,618,3.87,618,100,1,0.16,0,0,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,4,2039,6.63,681,33.4,8,0.39,1,0.049,30769
3,"VEN",862,"Venezuela",NA,2014,4,7284,23.61,0,0,28,0.38,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,21153,15.4,3214,15.19,317,1.5,1,0.005,137381
4,"ARG",32,"Argentina","DEN 4",2014,4,192,0.46,0,0,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,4,26005,12.87,9194,35.35,36,0.14,25,0.096,202034
4,"CHL",152,"Chile",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,4,2441,35.28,41,1.68,2,0.08,1,0.041,6918
4,"URY",858,"Uruguay",NA,2014,4,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,28638,10.53,9235,32.25,38,0.13,26,0.091,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,4,752,7.14,NA,NA,28,3.72,3,0.399,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,4,460,12.49,75,16.3,1,0.22,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,1212,4.76,75,6.19,29,2.39,3,0.248,25472
6,"AIA",660,"Anguilla",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
6,"ATG",28,"Antigua and Barbuda",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
6,"ABW",533,"Aruba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
6,"BHS",44,"Bahamas",NA,2014,4,4,1.04,0,0,0,0,0,0,383
6,"BRB",52,"Barbados",NA,2014,4,91,31.38,26,28.57,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,4,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,55
6,"CUW",531,"Curaçao",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,148
6,"DMA",212,"Dominica",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,73
6,"GUF",254,"French Guiana","DEN 1,2,4",2014,4,69,27.06,69,100,0,0,0,0,255
6,"GRD",308,"Grenada",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
6,"GLP",312,"Guadeloupe",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,468
6,"GUY",328,"Guyana",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,4,26,0.93,4,15.38,0,0,0,0,2799
