"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2008-05","IT","Italy",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","SE","Sweden",5.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","DE","Germany",17.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","EU_EEA31","EU/EEA",24.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","EU28","EU",24.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","FR","France",3.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","IT","Italy",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","SE","Sweden",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","SI","Slovenia",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-06","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","DE","Germany",26.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","EU_EEA31","EU/EEA",38.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","EU28","EU",38.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","FR","France",4.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","IT","Italy",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","SE","Sweden",8.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","SI","Slovenia",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-07","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","BE","Belgium",0.000000000,""
